timestamp,device_id,speed,v1,v3,bearing_temp,oil_pressure,current
2026-09-18T00:00:00+08:00,FJ-01,1479,2.1,1.9,55.8,0.24,214.8
2026-09-18T00:01:00+08:00,FJ-01,1479,2.2,2.0,55.7,0.24,217.2
2026-09-18T00:02:00+08:00,FJ-01,1480,2.2,2.0,55.4,0.24,217.7
2026-09-18T00:03:00+08:00,FJ-01,1479,2.2,2.0,55.3,0.24,217.3
2026-09-18T00:04:00+08:00,FJ-01,1480,2.2,2.0,56.1,0.24,216.4
2026-09-18T00:05:00+08:00,FJ-01,1480,2.2,1.9,55.9,0.24,218.3
2026-09-18T00:06:00+08:00,FJ-01,1480,2.2,2.1,55.9,0.24,217.7
2026-09-18T00:07:00+08:00,FJ-01,1480,2.3,2.1,56.6,0.25,218.6
2026-09-18T00:08:00+08:00,FJ-01,1479,2.2,2.0,56.8,0.24,220.4
2026-09-18T00:09:00+08:00,FJ-01,1479,2.2,2.1,57.3,0.25,219.5
2026-09-18T00:10:00+08:00,FJ-01,1481,2.3,2.0,56.6,0.25,218.0
2026-09-18T00:11:00+08:00,FJ-01,1480,2.3,2.1,57.2,0.25,221.3
2026-09-18T00:12:00+08:00,FJ-01,1481,2.3,2.1,56.7,0.25,219.3
2026-09-18T00:13:00+08:00,FJ-01,1480,2.3,2.1,57.1,0.24,219.2
2026-09-18T00:14:00+08:00,FJ-01,1480,2.3,2.2,57.3,0.25,220.6
2026-09-18T00:15:00+08:00,FJ-01,1481,2.4,2.2,57.1,0.25,221.0
2026-09-18T00:16:00+08:00,FJ-01,1482,2.4,2.2,57.5,0.25,221.1
2026-09-18T00:17:00+08:00,FJ-01,1480,2.3,2.2,58.3,0.25,221.9
2026-09-18T00:18:00+08:00,FJ-01,1479,2.4,2.2,57.6,0.25,221.7
2026-09-18T00:19:00+08:00,FJ-01,1482,2.4,2.2,58.5,0.25,221.7
2026-09-18T00:00:00+08:00,FJ-02,979,3.1,2.9,61.4,0.21,56.0
2026-09-18T00:01:00+08:00,FJ-02,981,3.2,3.0,61.5,0.21,56.2
2026-09-18T00:02:00+08:00,FJ-02,981,3.1,3.0,62.6,0.22,56.4
2026-09-18T00:03:00+08:00,FJ-02,979,3.2,2.9,62.6,0.21,56.8
2026-09-18T00:04:00+08:00,FJ-02,979,3.3,2.9,62.4,0.21,56.6
2026-09-18T00:05:00+08:00,FJ-02,981,3.3,2.9,63.0,0.21,56.5
2026-09-18T00:06:00+08:00,FJ-02,979,3.3,3.0,63.3,0.22,56.7
2026-09-18T00:07:00+08:00,FJ-02,980,3.4,3.0,63.0,0.21,57.0
2026-09-18T00:08:00+08:00,FJ-02,980,3.3,3.0,63.0,0.21,56.7
2026-09-18T00:09:00+08:00,FJ-02,980,3.3,3.0,63.7,0.21,56.9
2026-09-18T00:10:00+08:00,FJ-02,980,3.2,3.0,63.6,0.21,56.9
2026-09-18T00:11:00+08:00,FJ-02,981,3.3,3.0,64.2,0.21,57.0
2026-09-18T00:12:00+08:00,FJ-02,980,3.4,2.9,64.2,0.22,56.9
2026-09-18T00:13:00+08:00,FJ-02,982,3.3,3.1,63.8,0.22,56.9
2026-09-18T00:14:00+08:00,FJ-02,980,3.4,3.0,64.3,0.21,57.7
2026-09-18T00:15:00+08:00,FJ-02,980,3.4,3.0,64.5,0.23,56.9
2026-09-18T00:16:00+08:00,FJ-02,979,3.3,3.1,64.9,0.22,57.2
2026-09-18T00:17:00+08:00,FJ-02,980,3.4,3.1,64.9,0.21,57.3
2026-09-18T00:18:00+08:00,FJ-02,982,3.5,3.1,65.0,0.22,57.2
2026-09-18T00:19:00+08:00,FJ-02,981,3.4,3.1,64.8,0.22,57.3
2026-09-18T00:00:00+08:00,FJ-03,988,2.1,1.9,55.9,0.24,41.5
2026-09-18T00:01:00+08:00,FJ-03,989,2.1,1.9,55.9,0.24,41.6
2026-09-18T00:02:00+08:00,FJ-03,990,2.1,2.1,56.4,0.24,41.3
2026-09-18T00:03:00+08:00,FJ-03,989,2.2,2.0,56.0,0.24,41.4
2026-09-18T00:04:00+08:00,FJ-03,990,2.0,1.9,56.0,0.24,41.4
2026-09-18T00:05:00+08:00,FJ-03,990,2.1,2.0,56.1,0.24,41.6
2026-09-18T00:06:00+08:00,FJ-03,990,2.2,2.0,57.6,0.24,41.4
2026-09-18T00:07:00+08:00,FJ-03,989,2.1,1.9,57.4,0.24,41.6
2026-09-18T00:08:00+08:00,FJ-03,989,2.2,2.1,57.5,0.24,41.7
2026-09-18T00:09:00+08:00,FJ-03,990,2.1,2.0,57.7,0.25,42.2
2026-09-18T00:10:00+08:00,FJ-03,991,2.2,2.1,57.4,0.25,42.2
2026-09-18T00:11:00+08:00,FJ-03,990,2.3,2.1,57.3,0.25,42.0
2026-09-18T00:12:00+08:00,FJ-03,990,2.2,2.1,57.4,0.24,42.5
2026-09-18T00:13:00+08:00,FJ-03,991,2.3,2.2,57.6,0.25,41.8
2026-09-18T00:14:00+08:00,FJ-03,992,2.2,2.1,59.4,0.25,41.9
2026-09-18T00:15:00+08:00,FJ-03,991,2.2,2.1,58.6,0.25,42.2
2026-09-18T00:16:00+08:00,FJ-03,991,2.3,2.1,59.0,0.25,42.5
2026-09-18T00:17:00+08:00,FJ-03,991,2.3,2.1,59.8,0.25,42.7
2026-09-18T00:18:00+08:00,FJ-03,990,2.3,2.2,59.3,0.25,42.8
2026-09-18T00:19:00+08:00,FJ-03,991,2.3,2.2,59.4,0.25,43.2
